StrategyName,EntryTime,LastModTime,State,LastUpdateType,Symbol,Side,Type,TIF,Price,Quantity,DisplayQuantity,FilledQty,Remains,AvgFillPrice,ExecutionCost,Account,Trader,Broker,MarketCenter,OrderId,Tag,Reason
SwingSPY_1,2022-Apr-22 18:54:31.481000,2022-Apr-22 18:54:31.481000,FILLED,FILL,SPY,BUY,LIMIT,DAY,427.330000,200,0,200,0,427.330000,0.240000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292680,,
SwingSPY_1,2022-Apr-22 18:55:51.575000,2022-Apr-22 18:55:51.575000,FILLED,FILL,SPY,BUY,LIMIT,DAY,427.030000,100,0,100,0,427.030000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292681,,
SwingSPY_1,2022-Apr-22 18:56:50.771000,2022-Apr-22 18:56:50.771000,FILLED,FILL,SPY,BUY,LIMIT,DAY,426.970000,100,0,100,0,426.970000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292682,,
SwingSPY_1,2022-Apr-22 19:10:30.728000,2022-Apr-22 19:10:30.728000,FILLED,FILL,SPY,BUY,LIMIT,DAY,426.850000,100,0,100,0,426.850000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292683,,
SwingSPY_1,2022-Apr-22 19:51:24.143000,2022-Apr-22 19:51:24.143000,REJECTED,REJECT,SPY,BUY,LIMIT,DAY,426.655000,40,0,0,40,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292684,,limit price is not an increment of minimum tick size
SwingSPY_1,2022-Apr-22 19:51:41.253000,2022-Apr-22 19:51:41.253000,FILLED,FILL,SPY,BUY,LIMIT,DAY,426.490000,100,0,100,0,426.490000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292685,,
SwingSPY_1,2022-Apr-22 19:52:10.092000,2022-Apr-22 19:52:10.092000,FILLED,FILL,SPY,BUY,LIMIT,DAY,426.240000,100,0,100,0,426.240000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292686,,
SwingSPY_1,2022-Apr-22 19:52:21.582000,2022-Apr-22 19:52:21.582000,REJECTED,REJECT,SPY,BUY,LIMIT,DAY,426.175000,22,0,0,22,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292687,,limit price is not an increment of minimum tick size
SwingSPY_1,2022-Apr-22 19:58:16.307000,2022-Apr-22 19:58:16.307000,REJECTED,REJECT,SPY,BUY,LIMIT,DAY,426.117500,400,0,0,400,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292688,,limit price is not an increment of minimum tick size
SwingSPY_1,2022-Apr-22 19:58:38.482000,2022-Apr-22 19:58:38.482000,FILLED,FILL,SPY,BUY,LIMIT,DAY,426.020000,1000,0,1000,0,426.020000,1.200000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363611931292689,,
