StrategyName,TradeTime,Symbol,Quantity,Price,ExecutionCost,LiquidityAction,LiquidityCode,RawLiquidity,Account,Trader,MarketCenter,OrderID,ExecID,TransactionType
SwingSPY_1,2022-Apr-11 13:40:26.593000,SPY,100,443.230000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363611931292600,,FILL
SwingSPY_1,2022-Apr-11 13:40:48.328000,SPY,100,442.980000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363611931292601,,FILL
SwingSPY_1,2022-Apr-11 14:27:07.775000,SPY,20,442.510000,0.024000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363611931292602,,FILL
SwingSPY_1,2022-Apr-11 14:37:10.068000,SPY,15,442.420000,0.018000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363611931292603,,FILL
SwingSPY_1,2022-Apr-11 14:40:44.830000,SPY,18,442.240000,0.021600,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363611931292604,,FILL
SwingSPY_1,2022-Apr-11 14:44:30.609000,SPY,2,442.070000,0.002400,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363611931292605,,FILL
SwingSPY_1,2022-Apr-11 15:08:15.452000,SPY,25,441.990000,0.030000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363611931292606,,FILL
SwingSPY_1,2022-Apr-11 15:12:38.631000,SPY,5,441.900000,0.006000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363611931292607,,FILL
SwingSPY_1,2022-Apr-11 15:16:15.806000,SPY,100,441.790000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363611931292608,,FILL
SwingSPY_1,2022-Apr-11 16:32:40.210000,SPY,10,441.590000,0.012000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363611931292610,,FILL
SwingSPY_1,2022-Apr-11 16:54:31.550000,SPY,200,441.440000,0.240000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363611931292611,,FILL
SwingSPY_1,2022-Apr-11 18:31:14.764000,SPY,100,441.280000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363611931292612,,FILL
SwingSPY_1,2022-Apr-11 19:28:43.400000,SPY,200,440.970000,0.240000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363611931292614,,FILL
