Name,Time,Cumulative PnL
TKSPY,2019-Oct-30 17:44:31.504000,68.960400
TKSPY,2019-Oct-30 17:45:57.612000,-84.952800
TKSPY,2019-Oct-30 17:47:15.537000,-200.808400
TKSPY,2019-Oct-30 17:48:38.883000,-221.371200
TKSPY,2019-Oct-30 17:49:41.662000,-301.015600
TKSPY,2019-Oct-30 17:50:44.759000,-487.820000
TKSPY,2019-Oct-30 17:51:52.895000,-380.801600
TKSPY,2019-Oct-30 17:52:54.254000,-299.679200
TKSPY,2019-Oct-30 17:54:07.239000,-272.466000
TKSPY,2019-Oct-30 17:55:11.577000,-190.454000
TKSPY,2019-Oct-30 17:56:21.138000,-382.665600
TKSPY,2019-Oct-30 17:57:29.177000,-452.047400
TKSPY,2019-Oct-30 17:58:39.884000,-326.550400
TKSPY,2019-Oct-30 17:59:48.675000,-522.664400
TKSPY,2019-Oct-30 18:00:50.627000,-1660.676400
TKSPY,2019-Oct-30 18:02:02.205000,184.833600
TKSPY,2019-Oct-30 18:03:15.492000,-683.592200
TKSPY,2019-Oct-30 18:04:29.726000,-667.710800
TKSPY,2019-Oct-30 18:05:39.687000,-356.924000
TKSPY,2019-Oct-30 18:06:43.662000,-606.198400
TKSPY,2019-Oct-30 18:07:49.264000,-825.309200
TKSPY,2019-Oct-30 18:09:00.435000,-542.288400
TKSPY,2019-Oct-30 18:10:15.101000,-225.118400
TKSPY,2019-Oct-30 18:11:25.792000,444.047600
TKSPY,2019-Oct-30 18:12:37.662000,315.623600
TKSPY,2019-Oct-30 18:13:54.752000,331.722600
TKSPY,2019-Oct-30 18:15:10.204000,655.692400
TKSPY,2019-Oct-30 18:16:23.779000,1224.329200
TKSPY,2019-Oct-30 18:17:38.312000,1866.018600
TKSPY,2019-Oct-30 18:18:43.902000,1403.999000
TKSPY,2019-Oct-30 18:19:45.751000,1090.028400
TKSPY,2019-Oct-30 18:21:10.439000,1222.620400
TKSPY,2019-Oct-30 18:22:33.606000,1422.933200
TKSPY,2019-Oct-30 18:23:47.756000,1021.114000
TKSPY,2019-Oct-30 18:25:01.578000,853.144400
TKSPY,2019-Oct-30 18:26:25.609000,853.160400
TKSPY,2019-Oct-30 18:27:30.142000,632.857200
TKSPY,2019-Oct-30 18:29:10.432000,904.586200
TKSPY,2019-Oct-30 18:30:22.150000,819.541600
TKSPY,2019-Oct-30 18:31:25.801000,83.097800
TKSPY,2019-Oct-30 18:32:28.870000,411.306800
TKSPY,2019-Oct-30 18:33:42.525000,99.676000
TKSPY,2019-Oct-30 18:34:48.950000,-496.531200
TKSPY,2019-Oct-30 18:36:00.884000,38.789600
TKSPY,2019-Oct-30 18:37:21.342000,-177.149200
TKSPY,2019-Oct-30 18:38:40.275000,385.214400
TKSPY,2019-Oct-30 18:39:50.246000,-1094.352400
TKSPY,2019-Oct-30 18:41:00.721000,-485.720000
TKSPY,2019-Oct-30 18:42:02.930000,-18.421200
TKSPY,2019-Oct-30 18:43:17.678000,-261.507800
TKSPY,2019-Oct-30 18:44:28.332000,932.259200
TKSPY,2019-Oct-30 18:45:36.873000,856.198400
TKSPY,2019-Oct-30 18:46:53.898000,1199.709200
TKSPY,2019-Oct-30 18:47:54.269000,1200.582800
TKSPY,2019-Oct-30 18:49:04.324000,1065.594200
TKSPY,2019-Oct-30 18:50:04.439000,1432.434800
TKSPY,2019-Oct-30 18:51:17.726000,2478.403200
TKSPY,2019-Oct-30 18:52:23.428000,3393.324200
TKSPY,2019-Oct-30 18:53:37.982000,2884.300200
TKSPY,2019-Oct-30 18:54:52.889000,2824.260000
TKSPY,2019-Oct-30 18:55:58.278000,3675.347000
TKSPY,2019-Oct-30 18:57:12.823000,3337.564800
TKSPY,2019-Oct-30 18:58:16.603000,3457.397600
TKSPY,2019-Oct-30 18:59:30.102000,3137.029600
TKSPY,2019-Oct-30 19:00:55.565000,3578.687200
TKSPY,2019-Oct-30 19:02:08.716000,3498.139600
TKSPY,2019-Oct-30 19:03:13.778000,3579.464800
TKSPY,2019-Oct-30 19:04:18.319000,3862.788400
TKSPY,2019-Oct-30 19:05:32.603000,3883.156600
TKSPY,2019-Oct-30 19:06:35.613000,4027.059600
TKSPY,2019-Oct-30 19:07:53.247000,4275.313200
TKSPY,2019-Oct-30 19:09:08.140000,3734.650800
TKSPY,2019-Oct-30 19:10:22.529000,4193.541600
TKSPY,2019-Oct-30 19:11:39.815000,4361.676400
TKSPY,2019-Oct-30 19:12:47.539000,4277.525600
TKSPY,2019-Oct-30 19:14:11.739000,3982.421200
TKSPY,2019-Oct-30 19:15:47.536000,4109.192800
TKSPY,2019-Oct-30 19:17:01.256000,4257.526800
TKSPY,2019-Oct-30 19:18:17.619000,4702.512400
TKSPY,2019-Oct-30 19:19:31.268000,4235.084400
TKSPY,2019-Oct-30 19:20:48.936000,4554.934600
TKSPY,2019-Oct-30 19:22:09.482000,4789.824000
