StrategyName,TradeTime,Symbol,Quantity,Price,ExecutionCost,LiquidityAction,LiquidityCode,RawLiquidity,Account,Trader,MarketCenter,OrderID,ExecID,TransactionType
TKSPY,2019-Oct-30 13:37:31.271000,SPY,1,302.800000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587624,,FILL
TKSPY,2019-Oct-30 13:37:34.751000,SPY,1,302.800000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587626,,FILL
TKSPY,2019-Oct-30 13:37:34.751000,SPY,1,302.800000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587627,,FILL
TKSPY,2019-Oct-30 13:37:35.372000,SPY,1,302.790000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587628,,FILL
TKSPY,2019-Oct-30 13:37:39.111000,SPY,1,302.810000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587629,,FILL
TKSPY,2019-Oct-30 13:37:43.577000,SPY,1,302.780000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587632,,FILL
TKSPY,2019-Oct-30 13:37:43.577000,SPY,1,302.780000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587633,,FILL
TKSPY,2019-Oct-30 13:37:52.608000,SPY,1,302.780000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587635,,FILL
TKSPY,2019-Oct-30 13:37:53.213000,SPY,1,302.800000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587637,,FILL
TKSPY,2019-Oct-30 13:38:02.285000,SPY,1,302.790000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587641,,FILL
TKSPY,2019-Oct-30 13:38:02.286000,SPY,1,302.790000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587642,,FILL
TKSPY,2019-Oct-30 13:38:02.286000,SPY,1,302.790000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587643,,FILL
TKSPY,2019-Oct-30 13:38:02.287000,SPY,1,302.790000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587644,,FILL
TKSPY,2019-Oct-30 13:38:02.287000,SPY,1,302.790000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587645,,FILL
TKSPY,2019-Oct-30 13:38:02.415000,SPY,1,302.800000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,363440132587646,,FILL
