StrategyName,EntryTime,LastModTime,State,LastUpdateType,Symbol,Side,Type,TIF,Price,Quantity,DisplayQuantity,FilledQty,Remains,AvgFillPrice,ExecutionCost,Account,Trader,Broker,MarketCenter,OrderId,Tag,Reason
NONSPY,2019-Oct-30 13:34:02.711000,2019-Oct-30 13:34:02.711000,FILLED,FILL,SPY,BUY,LIMIT,DAY,303.120000,1,0,1,0,303.100000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363440132587565,,
NONSPY,2019-Oct-30 13:34:05.245000,2019-Oct-30 13:34:05.245000,FILLED,FILL,SPY,BUY,LIMIT,DAY,303.130000,1,0,1,0,303.110000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363440132587566,,
NONSPY,2019-Oct-30 13:34:09.464000,2019-Oct-30 13:34:09.464000,FILLED,FILL,SPY,BUY,LIMIT,DAY,303.090000,1,0,1,0,303.070000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363440132587567,,
NONSPY,2019-Oct-30 13:34:10.584000,2019-Oct-30 13:34:10.584000,REJECTED,REJECT,SPY,BUY,LIMIT,DAY,303.085000,1,0,0,1,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363440132587568,,limit price is not an increment of minimum tick size
NONSPY,2019-Oct-30 13:34:21.487000,2019-Oct-30 13:34:21.487000,FILLED,FILL,SPY,BUY,LIMIT,DAY,303.070000,1,0,1,0,303.050000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363440132587569,,
NONSPY,2019-Oct-30 13:34:28.182000,2019-Oct-30 13:34:28.182000,FILLED,FILL,SPY,BUY,LIMIT,DAY,303.060000,1,0,1,0,303.040000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363440132587570,,
NONSPY,2019-Oct-30 13:34:28.553000,2019-Oct-30 13:34:28.553000,FILLED,FILL,SPY,BUY,LIMIT,DAY,303.070000,1,0,1,0,303.050000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363440132587571,,
NONSPY,2019-Oct-30 13:34:44.119000,2019-Oct-30 13:34:44.119000,FILLED,FILL,SPY,BUY,LIMIT,DAY,303.020000,1,0,1,0,303.000000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363440132587572,,
NONSPY,2019-Oct-30 13:34:45.418000,2019-Oct-30 13:34:45.418000,FILLED,FILL,SPY,BUY,LIMIT,DAY,302.980000,1,0,1,0,302.960000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363440132587573,,
NONSPY,2019-Oct-30 13:34:45.418000,2019-Oct-30 13:34:45.418000,FILLED,FILL,SPY,BUY,LIMIT,DAY,302.980000,1,0,1,0,302.960000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,363440132587574,,
