Name,Time,Cumulative PnL
torch123,2022-Aug-01 17:17:44.681688,203.960374
torch123,2022-Aug-01 17:18:51.945558,218.960374
torch123,2022-Aug-01 17:19:58.370684,252.840374
torch123,2022-Aug-01 17:21:14.176026,252.840374
torch123,2022-Aug-01 17:22:25.826183,251.800653
torch123,2022-Aug-01 17:23:31.426991,217.800653
torch123,2022-Aug-01 17:24:50.451862,246.680653
torch123,2022-Aug-01 17:26:00.809425,247.640707
torch123,2022-Aug-01 17:27:05.171041,242.640707
torch123,2022-Aug-01 17:28:20.276745,269.140707
torch123,2022-Aug-01 17:29:27.654941,283.640707
torch123,2022-Aug-01 17:30:39.875331,293.640707
torch123,2022-Aug-01 17:31:49.491944,319.601725
torch123,2022-Aug-01 17:33:00.978802,368.601725
torch123,2022-Aug-01 17:34:02.268528,357.981725
torch123,2022-Aug-01 17:35:22.610632,367.481725
torch123,2022-Aug-01 17:36:36.773364,347.443392
torch123,2022-Aug-01 17:38:00.970900,359.443392
torch123,2022-Aug-01 17:39:15.834459,337.443392
torch123,2022-Aug-01 17:40:44.971699,334.323392
torch123,2022-Aug-01 17:42:01.772701,331.323392
torch123,2022-Aug-01 17:43:23.485736,352.323392
torch123,2022-Aug-01 17:44:25.456997,377.823392
torch123,2022-Aug-01 17:45:34.332179,384.323392
torch123,2022-Aug-01 17:46:44.358789,399.203392
torch123,2022-Aug-01 17:48:04.796747,399.203392
torch123,2022-Aug-01 17:49:13.598035,412.166694
torch123,2022-Aug-01 17:50:25.687534,364.166694
torch123,2022-Aug-01 17:51:41.695816,388.046694
torch123,2022-Aug-01 17:52:47.745403,388.046694
torch123,2022-Aug-01 17:53:50.348681,390.009661
torch123,2022-Aug-01 17:54:52.453276,374.509661
torch123,2022-Aug-01 17:55:57.284692,395.009661
torch123,2022-Aug-01 17:57:08.135969,387.889661
torch123,2022-Aug-01 17:58:23.494247,387.889661
torch123,2022-Aug-01 17:59:29.176451,361.852022
torch123,2022-Aug-01 18:00:30.197327,364.852022
torch123,2022-Aug-01 18:01:30.307216,371.352022
torch123,2022-Aug-01 18:02:43.600815,423.852022
torch123,2022-Aug-01 18:03:46.038863,371.814877
torch123,2022-Aug-01 18:04:59.299493,327.814877
torch123,2022-Aug-01 18:06:19.705551,393.694877
torch123,2022-Aug-01 18:07:32.755590,355.694877
torch123,2022-Aug-01 18:08:44.094502,355.194877
torch123,2022-Aug-01 18:09:59.790696,337.656656
torch123,2022-Aug-01 18:11:26.547358,359.656656
torch123,2022-Aug-01 18:13:01.013687,366.036656
torch123,2022-Aug-01 18:14:01.471710,358.536656
torch123,2022-Aug-01 18:15:11.452372,293.497472
torch123,2022-Aug-01 18:16:26.860107,267.497472
torch123,2022-Aug-01 18:17:32.596684,263.497472
torch123,2022-Aug-01 18:18:43.537596,314.377472
torch123,2022-Aug-01 18:19:54.648673,345.377472
torch123,2022-Aug-01 18:21:05.565948,339.877472
torch123,2022-Aug-01 18:22:55.916361,319.339050
torch123,2022-Aug-01 18:24:10.446402,285.339050
torch123,2022-Aug-01 18:25:29.273447,294.339050
torch123,2022-Aug-01 18:26:53.095005,318.339050
torch123,2022-Aug-01 18:27:53.737899,325.339050
torch123,2022-Aug-01 18:28:58.612141,300.300112
torch123,2022-Aug-01 18:30:24.650085,255.300112
torch123,2022-Aug-01 18:31:43.903010,291.300112
torch123,2022-Aug-01 18:33:03.495779,205.180112
torch123,2022-Aug-01 18:34:24.999129,223.180112
torch123,2022-Aug-01 18:35:42.881745,212.140256
torch123,2022-Aug-01 18:37:08.364990,194.140256
torch123,2022-Aug-01 18:38:56.441527,176.020256
torch123,2022-Aug-01 18:40:18.564801,167.020256
torch123,2022-Aug-01 18:41:43.205751,212.020256
torch123,2022-Aug-01 18:42:59.938505,186.981363
torch123,2022-Aug-01 18:44:14.299796,272.481363
torch123,2022-Aug-01 18:45:31.132306,273.981363
torch123,2022-Aug-01 18:46:33.192832,231.981363
torch123,2022-Aug-01 18:47:44.251002,231.981363
torch123,2022-Aug-01 18:48:55.768858,329.481363
torch123,2022-Aug-01 18:50:09.325569,315.942067
torch123,2022-Aug-01 18:51:22.923350,319.942067
torch123,2022-Aug-01 18:52:33.346482,277.942067
torch123,2022-Aug-01 18:53:46.436163,222.822067
torch123,2022-Aug-01 18:54:57.626842,177.822067
torch123,2022-Aug-01 18:56:15.808828,54.822067
torch123,2022-Aug-01 18:57:33.024278,-78.218685
torch123,2022-Aug-01 18:58:40.414095,-198.218685
torch123,2022-Aug-01 18:59:51.610842,-137.338685
torch123,2022-Aug-01 19:01:01.574469,-41.338685
torch123,2022-Aug-01 19:02:16.459127,-80.338685
torch123,2022-Aug-01 19:03:33.063077,-26.379638
torch123,2022-Aug-01 19:04:35.385947,-22.379638
torch123,2022-Aug-01 19:05:48.156747,3.500362
torch123,2022-Aug-01 19:07:00.375206,-69.999638
torch123,2022-Aug-01 19:08:05.481061,-131.499638
torch123,2022-Aug-01 19:09:13.585857,-140.541376
torch123,2022-Aug-01 19:10:36.858707,-94.541376
torch123,2022-Aug-01 19:11:44.845652,-66.541376
torch123,2022-Aug-01 19:12:50.675828,-94.541376
torch123,2022-Aug-01 19:14:00.203468,-126.541376
torch123,2022-Aug-01 19:15:06.025093,-222.541376
torch123,2022-Aug-01 19:16:24.243407,-295.583472
torch123,2022-Aug-01 19:17:32.540403,-178.083472
torch123,2022-Aug-01 19:18:42.996028,-123.083472
torch123,2022-Aug-01 19:19:54.715699,-98.703472
torch123,2022-Aug-01 19:20:59.568258,15.296528
torch123,2022-Aug-01 19:22:15.206093,53.296528
torch123,2022-Aug-01 19:23:21.779731,115.256426
torch123,2022-Aug-01 19:24:30.748784,95.256426
torch123,2022-Aug-01 19:25:42.045436,155.256426
torch123,2022-Aug-01 19:26:49.344865,186.136426
torch123,2022-Aug-01 19:28:01.064333,194.136426
torch123,2022-Aug-01 19:29:08.962414,154.136426
torch123,2022-Aug-01 19:30:24.428681,192.096323
torch123,2022-Aug-01 19:31:32.826032,152.096323
torch123,2022-Aug-01 19:32:45.419077,67.976323
torch123,2022-Aug-01 19:33:59.540448,167.976323
torch123,2022-Aug-01 19:35:01.705192,78.935862
torch123,2022-Aug-01 19:36:02.682716,153.935862
torch123,2022-Aug-01 19:37:05.120024,101.435862
torch123,2022-Aug-01 19:38:12.181332,78.935862
torch123,2022-Aug-01 19:39:23.193530,100.815862
torch123,2022-Aug-01 19:40:40.867073,44.815862
torch123,2022-Aug-01 19:41:46.576009,-41.184138
torch123,2022-Aug-01 19:42:59.286174,40.815862
torch123,2022-Aug-01 19:44:03.631555,132.815862
torch123,2022-Aug-01 19:45:15.770976,160.695862
torch123,2022-Aug-01 19:46:19.166714,46.695862
torch123,2022-Aug-01 19:47:29.969497,107.654685
torch123,2022-Aug-01 19:48:34.575538,57.654685
torch123,2022-Aug-01 19:49:48.682535,-3.465315
torch123,2022-Aug-01 19:50:52.845555,-39.465315
torch123,2022-Aug-01 19:52:00.132044,113.493395
torch123,2022-Aug-01 19:53:02.468849,181.493395
torch123,2022-Aug-01 19:54:05.067760,177.373395
torch123,2022-Aug-01 19:55:08.950088,222.373395
torch123,2022-Aug-01 19:56:10.837485,234.373395
torch123,2022-Aug-01 19:57:14.261101,249.373395
torch123,2022-Aug-01 19:58:17.939055,205.253395
torch123,2022-Aug-01 19:59:18.920861,163.253395
torch123,2022-Aug-01 20:21:03.013135,223.212845
torch123,2022-Aug-01 20:37:57.154767,223.212845
torch123,2022-Aug-01 20:48:43.731401,223.212845
torch123,2022-Aug-01 20:50:56.558032,223.212845
torch123,2022-Aug-01 20:55:42.274320,223.212845
torch123,2022-Aug-02 04:00:00,223.212845
